GROUP_SET,GROUP_VALUE_x,MAX_GAME_DATE,GP,W,L,W_PCT,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,Season,GROUP_VALUE_y,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,POSS,FGM_PG,FGA_PG,PTS_RANK,FG_PCT_RANK
By Year,2023-24,2024-04-14T00:00:00,75,14,61,0.187,406,803,0.506,88,235,0.374,202,273,0.74,84,456,540,286,160,59,36,76,185,251,1102,2023-24,2023-24,30.1,109.7,116.2,-6.5,0.174,1.79,21.0,0.56,0.597,0.196,105.06,0.109,4936,5.4,10.7,226,172
By Year,2022-23,2023-04-02T00:00:00,76,33,43,0.434,253,579,0.437,69,232,0.297,122,165,0.739,74,413,487,211,123,65,29,36,209,136,697,2022-23,2022-23,26.6,113.3,114.1,-0.8,0.142,1.72,21.4,0.497,0.535,0.165,99.76,0.084,4192,3.3,7.6,197,201
By Year,2021-22,2022-04-10T00:00:00,82,35,47,0.427,250,579,0.432,82,259,0.317,103,136,0.757,52,373,425,167,87,59,44,39,190,113,685,2021-22,2021-22,24.2,109.2,110.1,-1.0,0.117,1.92,18.7,0.503,0.536,0.158,99.88,0.086,4118,3.0,7.1,203,211
By Year,2020-21,2021-04-21T00:00:00,54,25,29,0.463,130,312,0.417,53,168,0.315,29,45,0.644,22,240,262,63,33,32,15,16,140,44,342,2020-21,2020-21,23.3,107.8,109.9,-2.1,0.064,1.91,14.8,0.502,0.515,0.118,106.28,0.06,2773,2.4,5.8,261,176
